This file contains the optical depth for each layer and waveband.
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   delta_tau_lay[0]   delta_tau_lay[1]   delta_tau_lay[2]   delta_tau_lay[3]   delta_tau_lay[4]   delta_tau_lay[5]   delta_tau_lay[6]   delta_tau_lay[7]   delta_tau_lay[8]   delta_tau_lay[9]   delta_tau_lay[10]   delta_tau_lay[11]   delta_tau_lay[12]   delta_tau_lay[13]   delta_tau_lay[14]   delta_tau_lay[15]   delta_tau_lay[16]   delta_tau_lay[17]   delta_tau_lay[18]   delta_tau_lay[19]   delta_tau_lay[20]   delta_tau_lay[21]   delta_tau_lay[22]   delta_tau_lay[23]   delta_tau_lay[24]   delta_tau_lay[25]   delta_tau_lay[26]   delta_tau_lay[27]   delta_tau_lay[28]   delta_tau_lay[29]   delta_tau_lay[30]   delta_tau_lay[31]   delta_tau_lay[32]   delta_tau_lay[33]   delta_tau_lay[34]   delta_tau_lay[35]   delta_tau_lay[36]   delta_tau_lay[37]   delta_tau_lay[38]   delta_tau_lay[39]   delta_tau_lay[40]   delta_tau_lay[41]   delta_tau_lay[42]   delta_tau_lay[43]   delta_tau_lay[44]   delta_tau_lay[45]   delta_tau_lay[46]   delta_tau_lay[47]   delta_tau_lay[48]   delta_tau_lay[49]   delta_tau_lay[50]   delta_tau_lay[51]   delta_tau_lay[52]   delta_tau_lay[53]   delta_tau_lay[54]   delta_tau_lay[55]   delta_tau_lay[56]   delta_tau_lay[57]   delta_tau_lay[58]   delta_tau_lay[59]   delta_tau_lay[60]   delta_tau_lay[61]   delta_tau_lay[62]   delta_tau_lay[63]   delta_tau_lay[64]   delta_tau_lay[65]   delta_tau_lay[66]   delta_tau_lay[67]   delta_tau_lay[68]   delta_tau_lay[69]   delta_tau_lay[70]   delta_tau_lay[71]   delta_tau_lay[72]   delta_tau_lay[73]   delta_tau_lay[74]   delta_tau_lay[75]   delta_tau_lay[76]   delta_tau_lay[77]   delta_tau_lay[78]   delta_tau_lay[79]   delta_tau_lay[80]   delta_tau_lay[81]   delta_tau_lay[82]   delta_tau_lay[83]   delta_tau_lay[84]   delta_tau_lay[85]   delta_tau_lay[86]   delta_tau_lay[87]   delta_tau_lay[88]   delta_tau_lay[89]   delta_tau_lay[90]   delta_tau_lay[91]   delta_tau_lay[92]   delta_tau_lay[93]   delta_tau_lay[94]   delta_tau_lay[95]   
48      64.4946677        59.1087394           11.8517785         19.4149             15.6456             12.6079             10.1598             8.18749             6.59743             5.31679             4.28435             3.45255             2.78224             2.24198             1.80676             1.45588             1.17327             0.945444            0.761884            0.613969            0.494745            0.398705            0.321276            0.25891             0.208635            0.168127            0.135487            0.109177            0.0879835           0.0708973           0.0571343           0.0460402           0.0371009           0.0298984           0.0240923           0.0194156           0.0156452           0.012608            0.0101599           0.00818718          0.0065978           0.00531652          0.00428451          0.00345249          0.00278224          0.00224203          0.00180669          0.00145596          0.00117321          0.000945477         0.000761875         0.000613965         0.000494757         0.000398688         0.000321292         0.000258896         0.000208641         0.000168126         0.000135485         0.00010918          8.79798e-05         7.09008e-05         5.71315e-05         4.60415e-05         3.7101e-05          2.98979e-05         2.40932e-05         1.94148e-05         1.56459e-05         1.26074e-05         1.01601e-05         8.18721e-06         6.59763e-06         5.31675e-06         4.28431e-06         3.45264e-06         2.78214e-06         2.24206e-06         1.8067e-06          1.45592e-06         1.17327e-06         9.45431e-07         7.61906e-07         6.13946e-07         4.94763e-07         3.98692e-07         3.21281e-07         2.5891e-07          2.08631e-07         1.68132e-07         1.35482e-07         1.09181e-07         8.79811e-08         7.08981e-08         5.71346e-08         4.60391e-08         3.71023e-08         2.98974e-08         2.40932e-08         
49      77.4263683        70.960518            14.2281556         19.4149             15.6456             12.6079             10.1598             8.18749             6.59743             5.31679             4.28435             3.45255             2.78224             2.24198             1.80676             1.45588             1.17327             0.945444            0.761884            0.613969            0.494745            0.398705            0.321276            0.25891             0.208635            0.168127            0.135487            0.109177            0.0879835           0.0708973           0.0571343           0.0460402           0.0371009           0.0298984           0.0240923           0.0194156           0.0156452           0.012608            0.0101599           0.00818718          0.0065978           0.00531652          0.00428451          0.00345249          0.00278224          0.00224203          0.00180669          0.00145596          0.00117321          0.000945477         0.000761875         0.000613965         0.000494757         0.000398688         0.000321292         0.000258896         0.000208641         0.000168126         0.000135485         0.00010918          8.79798e-05         7.09008e-05         5.71315e-05         4.60415e-05         3.7101e-05          2.98979e-05         2.40932e-05         1.94148e-05         1.56459e-05         1.26074e-05         1.01601e-05         8.18721e-06         6.59763e-06         5.31675e-06         4.28431e-06         3.45264e-06         2.78214e-06         2.24206e-06         1.8067e-06          1.45592e-06         1.17327e-06         9.45431e-07         7.61906e-07         6.13946e-07         4.94763e-07         3.98692e-07         3.21281e-07         2.5891e-07          2.08631e-07         1.68132e-07         1.35482e-07         1.09181e-07         8.79811e-08         7.08981e-08         5.71346e-08         4.60391e-08         3.71023e-08         2.98974e-08         2.40932e-08         
50      92.950979         85.1886736           17.0810155         19.4149             15.6456             12.6079             10.1598             8.18749             6.59743             5.31679             4.28435             3.45255             2.78224             2.24198             1.80676             1.45588             1.17327             0.945444            0.761884            0.613969            0.494745            0.398705            0.321276            0.25891             0.208635            0.168127            0.135487            0.109177            0.0879835           0.0708973           0.0571343           0.0460402           0.0371009           0.0298984           0.0240923           0.0194156           0.0156452           0.012608            0.0101599           0.00818718          0.0065978           0.00531652          0.00428451          0.00345249          0.00278224          0.00224203          0.00180669          0.00145596          0.00117321          0.000945477         0.000761875         0.000613965         0.000494757         0.000398688         0.000321292         0.000258896         0.000208641         0.000168126         0.000135485         0.00010918          8.79798e-05         7.09008e-05         5.71315e-05         4.60415e-05         3.7101e-05          2.98979e-05         2.40932e-05         1.94148e-05         1.56459e-05         1.26074e-05         1.01601e-05         8.18721e-06         6.59763e-06         5.31675e-06         4.28431e-06         3.45264e-06         2.78214e-06         2.24206e-06         1.8067e-06          1.45592e-06         1.17327e-06         9.45431e-07         7.61906e-07         6.13946e-07         4.94763e-07         3.98692e-07         3.21281e-07         2.5891e-07          2.08631e-07         1.68132e-07         1.35482e-07         1.09181e-07         8.79811e-08         7.08981e-08         5.71346e-08         4.60391e-08         3.71023e-08         2.98974e-08         2.40932e-08         
51      111.588399        102.269689           20.5058967         19.4149             15.6456             12.6079             10.1598             8.18749             6.59743             5.31679             4.28435             3.45255             2.78224             2.24198             1.80676             1.45588             1.17327             0.945444            0.761884            0.613969            0.494745            0.398705            0.321276            0.25891             0.208635            0.168127            0.135487            0.109177            0.0879835           0.0708973           0.0571343           0.0460402           0.0371009           0.0298984           0.0240923           0.0194156           0.0156452           0.012608            0.0101599           0.00818718          0.0065978           0.00531652          0.00428451          0.00345249          0.00278224          0.00224203          0.00180669          0.00145596          0.00117321          0.000945477         0.000761875         0.000613965         0.000494757         0.000398688         0.000321292         0.000258896         0.000208641         0.000168126         0.000135485         0.00010918          8.79798e-05         7.09008e-05         5.71315e-05         4.60415e-05         3.7101e-05          2.98979e-05         2.40932e-05         1.94148e-05         1.56459e-05         1.26074e-05         1.01601e-05         8.18721e-06         6.59763e-06         5.31675e-06         4.28431e-06         3.45264e-06         2.78214e-06         2.24206e-06         1.8067e-06          1.45592e-06         1.17327e-06         9.45431e-07         7.61906e-07         6.13946e-07         4.94763e-07         3.98692e-07         3.21281e-07         2.5891e-07          2.08631e-07         1.68132e-07         1.35482e-07         1.09181e-07         8.79811e-08         7.08981e-08         5.71346e-08         4.60391e-08         3.71023e-08         2.98974e-08         2.40932e-08         
52      133.962772        122.775586           24.6174943         19.4149             15.6456             12.6079             10.1598             8.18749             6.59743             5.31679             4.28435             3.45255             2.78224             2.24198             1.80676             1.45588             1.17327             0.945444            0.761884            0.613969            0.494745            0.398705            0.321276            0.25891             0.208635            0.168127            0.135487            0.109177            0.0879835           0.0708973           0.0571343           0.0460402           0.0371009           0.0298984           0.0240923           0.0194156           0.0156452           0.012608            0.0101599           0.00818718          0.0065978           0.00531652          0.00428451          0.00345249          0.00278224          0.00224203          0.00180669          0.00145596          0.00117321          0.000945477         0.000761875         0.000613965         0.000494757         0.000398688         0.000321292         0.000258896         0.000208641         0.000168126         0.000135485         0.00010918          8.79798e-05         7.09008e-05         5.71315e-05         4.60415e-05         3.7101e-05          2.98979e-05         2.40932e-05         1.94148e-05         1.56459e-05         1.26074e-05         1.01601e-05         8.18721e-06         6.59763e-06         5.31675e-06         4.28431e-06         3.45264e-06         2.78214e-06         2.24206e-06         1.8067e-06          1.45592e-06         1.17327e-06         9.45431e-07         7.61906e-07         6.13946e-07         4.94763e-07         3.98692e-07         3.21281e-07         2.5891e-07          2.08631e-07         1.68132e-07         1.35482e-07         1.09181e-07         8.79811e-08         7.08981e-08         5.71346e-08         4.60391e-08         3.71023e-08         2.98974e-08         2.40932e-08         
53      160.823388        147.39308            29.5535002         19.4149             15.6456             12.6079             10.1598             8.18749             6.59743             5.31679             4.28435             3.45255             2.78224             2.24198             1.80676             1.45588             1.17327             0.945444            0.761884            0.613969            0.494745            0.398705            0.321276            0.25891             0.208635            0.168127            0.135487            0.109177            0.0879835           0.0708973           0.0571343           0.0460402           0.0371009           0.0298984           0.0240923           0.0194156           0.0156452           0.012608            0.0101599           0.00818718          0.0065978           0.00531652          0.00428451          0.00345249          0.00278224          0.00224203          0.00180669          0.00145596          0.00117321          0.000945477         0.000761875         0.000613965         0.000494757         0.000398688         0.000321292         0.000258896         0.000208641         0.000168126         0.000135485         0.00010918          8.79798e-05         7.09008e-05         5.71315e-05         4.60415e-05         3.7101e-05          2.98979e-05         2.40932e-05         1.94148e-05         1.56459e-05         1.26074e-05         1.01601e-05         8.18721e-06         6.59763e-06         5.31675e-06         4.28431e-06         3.45264e-06         2.78214e-06         2.24206e-06         1.8067e-06          1.45592e-06         1.17327e-06         9.45431e-07         7.61906e-07         6.13946e-07         4.94763e-07         3.98692e-07         3.21281e-07         2.5891e-07          2.08631e-07         1.68132e-07         1.35482e-07         1.09181e-07         8.79811e-08         7.08981e-08         5.71346e-08         4.60391e-08         3.71023e-08         2.98974e-08         2.40932e-08         
54      193.069773        176.94658            35.4792151         19.4149             15.6456             12.6079             10.1598             8.18749             6.59743             5.31679             4.28435             3.45255             2.78224             2.24198             1.80676             1.45588             1.17327             0.945444            0.761884            0.613969            0.494745            0.398705            0.321276            0.25891             0.208635            0.168127            0.135487            0.109177            0.0879835           0.0708973           0.0571343           0.0460402           0.0371009           0.0298984           0.0240923           0.0194156           0.0156452           0.012608            0.0101599           0.00818718          0.0065978           0.00531652          0.00428451          0.00345249          0.00278224          0.00224203          0.00180669          0.00145596          0.00117321          0.000945477         0.000761875         0.000613965         0.000494757         0.000398688         0.000321292         0.000258896         0.000208641         0.000168126         0.000135485         0.00010918          8.79798e-05         7.09008e-05         5.71315e-05         4.60415e-05         3.7101e-05          2.98979e-05         2.40932e-05         1.94148e-05         1.56459e-05         1.26074e-05         1.01601e-05         8.18721e-06         6.59763e-06         5.31675e-06         4.28431e-06         3.45264e-06         2.78214e-06         2.24206e-06         1.8067e-06          1.45592e-06         1.17327e-06         9.45431e-07         7.61906e-07         6.13946e-07         4.94763e-07         3.98692e-07         3.21281e-07         2.5891e-07          2.08631e-07         1.68132e-07         1.35482e-07         1.09181e-07         8.79811e-08         7.08981e-08         5.71346e-08         4.60391e-08         3.71023e-08         2.98974e-08         2.40932e-08         
55      231.781818        212.425795           42.5930837         19.4149             15.6456             12.6079             10.1598             8.18749             6.59743             5.31679             4.28435             3.45255             2.78224             2.24198             1.80676             1.45588             1.17327             0.945444            0.761884            0.613969            0.494745            0.398705            0.321276            0.25891             0.208635            0.168127            0.135487            0.109177            0.0879835           0.0708973           0.0571343           0.0460402           0.0371009           0.0298984           0.0240923           0.0194156           0.0156452           0.012608            0.0101599           0.00818718          0.0065978           0.00531652          0.00428451          0.00345249          0.00278224          0.00224203          0.00180669          0.00145596          0.00117321          0.000945477         0.000761875         0.000613965         0.000494757         0.000398688         0.000321292         0.000258896         0.000208641         0.000168126         0.000135485         0.00010918          8.79798e-05         7.09008e-05         5.71315e-05         4.60415e-05         3.7101e-05          2.98979e-05         2.40932e-05         1.94148e-05         1.56459e-05         1.26074e-05         1.01601e-05         8.18721e-06         6.59763e-06         5.31675e-06         4.28431e-06         3.45264e-06         2.78214e-06         2.24206e-06         1.8067e-06          1.45592e-06         1.17327e-06         9.45431e-07         7.61906e-07         6.13946e-07         4.94763e-07         3.98692e-07         3.21281e-07         2.5891e-07          2.08631e-07         1.68132e-07         1.35482e-07         1.09181e-07         8.79811e-08         7.08981e-08         5.71346e-08         4.60391e-08         3.71023e-08         2.98974e-08         2.40932e-08         
56      278.25594         255.018879           51.1333401         19.4149             15.6456             12.6079             10.1598             8.18749             6.59743             5.31679             4.28435             3.45255             2.78224             2.24198             1.80676             1.45588             1.17327             0.945444            0.761884            0.613969            0.494745            0.398705            0.321276            0.25891             0.208635            0.168127            0.135487            0.109177            0.0879835           0.0708973           0.0571343           0.0460402           0.0371009           0.0298984           0.0240923           0.0194156           0.0156452           0.012608            0.0101599           0.00818718          0.0065978           0.00531652          0.00428451          0.00345249          0.00278224          0.00224203          0.00180669          0.00145596          0.00117321          0.000945477         0.000761875         0.000613965         0.000494757         0.000398688         0.000321292         0.000258896         0.000208641         0.000168126         0.000135485         0.00010918          8.79798e-05         7.09008e-05         5.71315e-05         4.60415e-05         3.7101e-05          2.98979e-05         2.40932e-05         1.94148e-05         1.56459e-05         1.26074e-05         1.01601e-05         8.18721e-06         6.59763e-06         5.31675e-06         4.28431e-06         3.45264e-06         2.78214e-06         2.24206e-06         1.8067e-06          1.45592e-06         1.17327e-06         9.45431e-07         7.61906e-07         6.13946e-07         4.94763e-07         3.98692e-07         3.21281e-07         2.5891e-07          2.08631e-07         1.68132e-07         1.35482e-07         1.09181e-07         8.79811e-08         7.08981e-08         5.71346e-08         4.60391e-08         3.71023e-08         2.98974e-08         2.40932e-08         
57      334.048498        306.152219           61.3859869         19.4149             15.6456             12.6079             10.1598             8.18749             6.59743             5.31679             4.28435             3.45255             2.78224             2.24198             1.80676             1.45588             1.17327             0.945444            0.761884            0.613969            0.494745            0.398705            0.321276            0.25891             0.208635            0.168127            0.135487            0.109177            0.0879835           0.0708973           0.0571343           0.0460402           0.0371009           0.0298984           0.0240923           0.0194156           0.0156452           0.012608            0.0101599           0.00818718          0.0065978           0.00531652          0.00428451          0.00345249          0.00278224          0.00224203          0.00180669          0.00145596          0.00117321          0.000945477         0.000761875         0.000613965         0.000494757         0.000398688         0.000321292         0.000258896         0.000208641         0.000168126         0.000135485         0.00010918          8.79798e-05         7.09008e-05         5.71315e-05         4.60415e-05         3.7101e-05          2.98979e-05         2.40932e-05         1.94148e-05         1.56459e-05         1.26074e-05         1.01601e-05         8.18721e-06         6.59763e-06         5.31675e-06         4.28431e-06         3.45264e-06         2.78214e-06         2.24206e-06         1.8067e-06          1.45592e-06         1.17327e-06         9.45431e-07         7.61906e-07         6.13946e-07         4.94763e-07         3.98692e-07         3.21281e-07         2.5891e-07          2.08631e-07         1.68132e-07         1.35482e-07         1.09181e-07         8.79811e-08         7.08981e-08         5.71346e-08         4.60391e-08         3.71023e-08         2.98974e-08         2.40932e-08         
58      401.027914        367.538206           73.6943719         19.4149             15.6456             12.6079             10.1598             8.18749             6.59743             5.31679             4.28435             3.45255             2.78224             2.24198             1.80676             1.45588             1.17327             0.945444            0.761884            0.613969            0.494745            0.398705            0.321276            0.25891             0.208635            0.168127            0.135487            0.109177            0.0879835           0.0708973           0.0571343           0.0460402           0.0371009           0.0298984           0.0240923           0.0194156           0.0156452           0.012608            0.0101599           0.00818718          0.0065978           0.00531652          0.00428451          0.00345249          0.00278224          0.00224203          0.00180669          0.00145596          0.00117321          0.000945477         0.000761875         0.000613965         0.000494757         0.000398688         0.000321292         0.000258896         0.000208641         0.000168126         0.000135485         0.00010918          8.79798e-05         7.09008e-05         5.71315e-05         4.60415e-05         3.7101e-05          2.98979e-05         2.40932e-05         1.94148e-05         1.56459e-05         1.26074e-05         1.01601e-05         8.18721e-06         6.59763e-06         5.31675e-06         4.28431e-06         3.45264e-06         2.78214e-06         2.24206e-06         1.8067e-06          1.45592e-06         1.17327e-06         9.45431e-07         7.61906e-07         6.13946e-07         4.94763e-07         3.98692e-07         3.21281e-07         2.5891e-07          2.08631e-07         1.68132e-07         1.35482e-07         1.09181e-07         8.79811e-08         7.08981e-08         5.71346e-08         4.60391e-08         3.71023e-08         2.98974e-08         2.40932e-08         
59      481.437242        441.232578           88.4706872         19.4149             15.6456             12.6079             10.1598             8.18749             6.59743             5.31679             4.28435             3.45255             2.78224             2.24198             1.80676             1.45588             1.17327             0.945444            0.761884            0.613969            0.494745            0.398705            0.321276            0.25891             0.208635            0.168127            0.135487            0.109177            0.0879835           0.0708973           0.0571343           0.0460402           0.0371009           0.0298984           0.0240923           0.0194156           0.0156452           0.012608            0.0101599           0.00818718          0.0065978           0.00531652          0.00428451          0.00345249          0.00278224          0.00224203          0.00180669          0.00145596          0.00117321          0.000945477         0.000761875         0.000613965         0.000494757         0.000398688         0.000321292         0.000258896         0.000208641         0.000168126         0.000135485         0.00010918          8.79798e-05         7.09008e-05         5.71315e-05         4.60415e-05         3.7101e-05          2.98979e-05         2.40932e-05         1.94148e-05         1.56459e-05         1.26074e-05         1.01601e-05         8.18721e-06         6.59763e-06         5.31675e-06         4.28431e-06         3.45264e-06         2.78214e-06         2.24206e-06         1.8067e-06          1.45592e-06         1.17327e-06         9.45431e-07         7.61906e-07         6.13946e-07         4.94763e-07         3.98692e-07         3.21281e-07         2.5891e-07          2.08631e-07         1.68132e-07         1.35482e-07         1.09181e-07         8.79811e-08         7.08981e-08         5.71346e-08         4.60391e-08         3.71023e-08         2.98974e-08         2.40932e-08         
60      577.969288        529.703265           106.209773         19.4149             15.6456             12.6079             10.1598             8.18749             6.59743             5.31679             4.28435             3.45255             2.78224             2.24198             1.80676             1.45588             1.17327             0.945444            0.761884            0.613969            0.494745            0.398705            0.321276            0.25891             0.208635            0.168127            0.135487            0.109177            0.0879835           0.0708973           0.0571343           0.0460402           0.0371009           0.0298984           0.0240923           0.0194156           0.0156452           0.012608            0.0101599           0.00818718          0.0065978           0.00531652          0.00428451          0.00345249          0.00278224          0.00224203          0.00180669          0.00145596          0.00117321          0.000945477         0.000761875         0.000613965         0.000494757         0.000398688         0.000321292         0.000258896         0.000208641         0.000168126         0.000135485         0.00010918          8.79798e-05         7.09008e-05         5.71315e-05         4.60415e-05         3.7101e-05          2.98979e-05         2.40932e-05         1.94148e-05         1.56459e-05         1.26074e-05         1.01601e-05         8.18721e-06         6.59763e-06         5.31675e-06         4.28431e-06         3.45264e-06         2.78214e-06         2.24206e-06         1.8067e-06          1.45592e-06         1.17327e-06         9.45431e-07         7.61906e-07         6.13946e-07         4.94763e-07         3.98692e-07         3.21281e-07         2.5891e-07          2.08631e-07         1.68132e-07         1.35482e-07         1.09181e-07         8.79811e-08         7.08981e-08         5.71346e-08         4.60391e-08         3.71023e-08         2.98974e-08         2.40932e-08         
61      693.856788        635.913038           127.505688         19.4149             15.6456             12.6079             10.1598             8.18749             6.59743             5.31679             4.28435             3.45255             2.78224             2.24198             1.80676             1.45588             1.17327             0.945444            0.761884            0.613969            0.494745            0.398705            0.321276            0.25891             0.208635            0.168127            0.135487            0.109177            0.0879835           0.0708973           0.0571343           0.0460402           0.0371009           0.0298984           0.0240923           0.0194156           0.0156452           0.012608            0.0101599           0.00818718          0.0065978           0.00531652          0.00428451          0.00345249          0.00278224          0.00224203          0.00180669          0.00145596          0.00117321          0.000945477         0.000761875         0.000613965         0.000494757         0.000398688         0.000321292         0.000258896         0.000208641         0.000168126         0.000135485         0.00010918          8.79798e-05         7.09008e-05         5.71315e-05         4.60415e-05         3.7101e-05          2.98979e-05         2.40932e-05         1.94148e-05         1.56459e-05         1.26074e-05         1.01601e-05         8.18721e-06         6.59763e-06         5.31675e-06         4.28431e-06         3.45264e-06         2.78214e-06         2.24206e-06         1.8067e-06          1.45592e-06         1.17327e-06         9.45431e-07         7.61906e-07         6.13946e-07         4.94763e-07         3.98692e-07         3.21281e-07         2.5891e-07          2.08631e-07         1.68132e-07         1.35482e-07         1.09181e-07         8.79811e-08         7.08981e-08         5.71346e-08         4.60391e-08         3.71023e-08         2.98974e-08         2.40932e-08         
62      832.980665        763.418726           153.071606         19.4149             15.6456             12.6079             10.1598             8.18749             6.59743             5.31679             4.28435             3.45255             2.78224             2.24198             1.80676             1.45588             1.17327             0.945444            0.761884            0.613969            0.494745            0.398705            0.321276            0.25891             0.208635            0.168127            0.135487            0.109177            0.0879835           0.0708973           0.0571343           0.0460402           0.0371009           0.0298984           0.0240923           0.0194156           0.0156452           0.012608            0.0101599           0.00818718          0.0065978           0.00531652          0.00428451          0.00345249          0.00278224          0.00224203          0.00180669          0.00145596          0.00117321          0.000945477         0.000761875         0.000613965         0.000494757         0.000398688         0.000321292         0.000258896         0.000208641         0.000168126         0.000135485         0.00010918          8.79798e-05         7.09008e-05         5.71315e-05         4.60415e-05         3.7101e-05          2.98979e-05         2.40932e-05         1.94148e-05         1.56459e-05         1.26074e-05         1.01601e-05         8.18721e-06         6.59763e-06         5.31675e-06         4.28431e-06         3.45264e-06         2.78214e-06         2.24206e-06         1.8067e-06          1.45592e-06         1.17327e-06         9.45431e-07         7.61906e-07         6.13946e-07         4.94763e-07         3.98692e-07         3.21281e-07         2.5891e-07          2.08631e-07         1.68132e-07         1.35482e-07         1.09181e-07         8.79811e-08         7.08981e-08         5.71346e-08         4.60391e-08         3.71023e-08         2.98974e-08         2.40932e-08         
63      1000              916.490332           167.019335         19.4149             15.6456             12.6079             10.1598             8.18749             6.59743             5.31679             4.28435             3.45255             2.78224             2.24198             1.80676             1.45588             1.17327             0.945444            0.761884            0.613969            0.494745            0.398705            0.321276            0.25891             0.208635            0.168127            0.135487            0.109177            0.0879835           0.0708973           0.0571343           0.0460402           0.0371009           0.0298984           0.0240923           0.0194156           0.0156452           0.012608            0.0101599           0.00818718          0.0065978           0.00531652          0.00428451          0.00345249          0.00278224          0.00224203          0.00180669          0.00145596          0.00117321          0.000945477         0.000761875         0.000613965         0.000494757         0.000398688         0.000321292         0.000258896         0.000208641         0.000168126         0.000135485         0.00010918          8.79798e-05         7.09008e-05         5.71315e-05         4.60415e-05         3.7101e-05          2.98979e-05         2.40932e-05         1.94148e-05         1.56459e-05         1.26074e-05         1.01601e-05         8.18721e-06         6.59763e-06         5.31675e-06         4.28431e-06         3.45264e-06         2.78214e-06         2.24206e-06         1.8067e-06          1.45592e-06         1.17327e-06         9.45431e-07         7.61906e-07         6.13946e-07         4.94763e-07         3.98692e-07         3.21281e-07         2.5891e-07          2.08631e-07         1.68132e-07         1.35482e-07         1.09181e-07         8.79811e-08         7.08981e-08         5.71346e-08         4.60391e-08         3.71023e-08         2.98974e-08         2.40932e-08         
