This file contains the bin integrated opacities at each layer center 
Opacity given in [cm^2 g^-1].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   opac_lay[0]   opac_lay[1]   opac_lay[2]   opac_lay[3]   opac_lay[4]   opac_lay[5]   opac_lay[6]   opac_lay[7]   opac_lay[8]   opac_lay[9]   opac_lay[10]   opac_lay[11]   opac_lay[12]   opac_lay[13]   opac_lay[14]   opac_lay[15]   opac_lay[16]   opac_lay[17]   opac_lay[18]   opac_lay[19]   opac_lay[20]   opac_lay[21]   opac_lay[22]   opac_lay[23]   opac_lay[24]   opac_lay[25]   opac_lay[26]   opac_lay[27]   opac_lay[28]   opac_lay[29]   opac_lay[30]   opac_lay[31]   opac_lay[32]   opac_lay[33]   opac_lay[34]   opac_lay[35]   opac_lay[36]   opac_lay[37]   opac_lay[38]   opac_lay[39]   opac_lay[40]   opac_lay[41]   opac_lay[42]   opac_lay[43]   opac_lay[44]   opac_lay[45]   opac_lay[46]   opac_lay[47]   opac_lay[48]   opac_lay[49]   opac_lay[50]   opac_lay[51]   opac_lay[52]   opac_lay[53]   opac_lay[54]   opac_lay[55]   opac_lay[56]   opac_lay[57]   opac_lay[58]   opac_lay[59]   opac_lay[60]   opac_lay[61]   opac_lay[62]   opac_lay[63]   opac_lay[64]   opac_lay[65]   opac_lay[66]   opac_lay[67]   opac_lay[68]   opac_lay[69]   opac_lay[70]   opac_lay[71]   opac_lay[72]   opac_lay[73]   opac_lay[74]   opac_lay[75]   opac_lay[76]   opac_lay[77]   opac_lay[78]   opac_lay[79]   opac_lay[80]   opac_lay[81]   opac_lay[82]   opac_lay[83]   opac_lay[84]   opac_lay[85]   opac_lay[86]   opac_lay[87]   opac_lay[88]   opac_lay[89]   opac_lay[90]   opac_lay[91]   opac_lay[92]   opac_lay[93]   opac_lay[94]   opac_lay[95]   
50      92.950979         85.1886736           17.0810155         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
51      111.588399        102.269689           20.5058967         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
52      133.962772        122.775586           24.6174943         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
53      160.823388        147.39308            29.5535002         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
54      193.069773        176.94658            35.4792151         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
55      231.781818        212.425795           42.5930837         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
56      278.25594         255.018879           51.1333401         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
57      334.048498        306.152219           61.3859869         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
58      401.027914        367.538206           73.6943719         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
59      481.437242        441.232578           88.4706872         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
60      577.969288        529.703265           106.209773         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
61      693.856788        635.913038           127.505688         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
62      832.980665        763.418726           153.071606         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
63      1000              916.490332           167.019335         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
